step,time_s,L1,L2,L3,L4,L5,L6,R1,R2,R3,R4,R5,R6
31,0.124000,-0.199510261,4.45250368,3.54052544,-2.67878509,0.042606391,2.29823875,2.56883959e-06,-6.61081958e-06,1.66813134e-05,-4.27115947e-06,-1.58127968e-05,7.21996985e-05
32,0.128000,-0.221663594,4.90322208,3.81387424,-2.68435812,0.0483674407,2.29796004,2.54694123e-06,-6.51895152e-06,1.64731828e-05,-4.26765246e-06,-1.58092589e-05,7.21958495e-05
33,0.132000,-0.232070535,4.9152689,3.92817116,-2.68656993,0.0560484678,2.29336905,2.58621412e-06,-6.43440308e-06,1.62575088e-05,-4.26701854e-06,-1.58061648e-05,7.21920951e-05
34,0.136000,-0.236952856,4.94726324,4.05449677,-2.70200992,0.0589295477,2.29046583,2.56034923e-06,-6.35495644e-06,1.60519776e-05,-4.2685906e-06,-1.58026323e-05,7.2189272e-05
35,0.140000,-0.2397376,4.94808483,4.14371252,-2.72082686,0.0599620491,2.28950047,2.5511672e-06,-6.27047666e-06,1.58476378e-05,-4.2693855e-06,-1.58019666e-05,7.21855831e-05
36,0.144000,-0.241449848,4.93012953,4.1897769,-2.71308303,0.05920114,2.2902379,2.52765449e-06,-6.16750276e-06,1.5659647e-05,-4.27036275e-06,-1.57974719e-05,7.21821052e-05
37,0.148000,-0.242316216,4.91762304,4.22126007,-2.70842242,0.0582931377,2.29103088,2.51328402e-06,-6.0962293e-06,1.54524387e-05,-4.26983161e-06,-1.57972172e-05,7.21795077e-05
38,0.152000,-0.242950425,4.90899134,4.24261618,-2.70587015,0.0572555177,2.2919302,2.59004628e-06,-5.99859686e-06,1.52505199e-05,-4.27156147e-06,-1.57920767e-05,7.21757824e-05
39,0.156000,-0.243530571,4.90304708,4.25695848,-2.70481014,0.0565850884,2.29258585,2.56416297e-06,-5.91273829e-06,1.50495689e-05,-4.27127361e-06,-1.57881132e-05,7.21714023e-05
40,0.160000,-0.244010463,4.89897776,4.26644802,-2.70473027,0.0559674725,2.29322505,1.9807303e-06,-5.798448e-06,1.48782183e-05,-4.28225576e-06,-1.57819177e-05,7.21683173e-05
41,0.164000,-0.244247988,4.89621735,4.27260923,-2.70527649,0.0552453026,2.29394031,1.27019621e-06,-5.69573149e-06,1.46801103e-05,-4.29101556e-06,-1.57574177e-05,7.2165094e-05
42,0.168000,-0.24447538,4.8943572,4.27649307,-2.70629573,0.0547897965,2.29449034,7.59739578e-07,-5.58106058e-06,1.44918513e-05,-4.29241481e-06,-1.57289269e-05,7.21620236e-05
43,0.172000,-0.244893521,4.89313745,4.27879238,-2.70760965,0.0544415042,2.29500151,3.55119482e-07,-5.47339596e-06,1.43218085e-05,-4.29802913e-06,-1.56991555e-05,7.21585748e-05
44,0.176000,-0.245347351,4.89236355,4.28001118,-2.70910263,0.0541605502,2.2954874,6.75074716e-08,-5.38006771e-06,1.41187566e-05,-4.29316697e-06,-1.566428e-05,7.21561009e-05
45,0.180000,-0.245804757,4.89190102,4.28049946,-2.71070409,0.0539378524,2.29594827,-2.93844323e-07,-5.27856719e-06,1.39418471e-05,-4.29357897e-06,-1.56401493e-05,7.2152543e-05
46,0.184000,-0.27600193,6.04971266,5.14213896,-3.4868896,0.0317902043,2.89822888,-4.53783514e-07,-5.19150035e-06,1.37596453e-05,-4.29369311e-06,-1.56076858e-05,7.21502292e-05
47,0.188000,-0.283669859,6.29866314,5.36572933,-3.5284493,0.0402261764,2.89747334,-4.07311973e-07,-5.11409962e-06,1.35572736e-05,-4.29280044e-06,-1.55759571e-05,7.21479519e-05
48,0.192000,-0.290450692,6.28347254,5.42076254,-3.51712179,0.040347822,2.89845896,-2.58937916e-07,-5.0370345e-06,1.33591375e-05,-4.27597706e-06,-1.55427697e-05,7.2144896e-05
49,0.196000,-0.293248355,6.2694025,5.45646811,-3.5115447,0.0396423638,2.89956975,-1.6281183e-07,-4.94724645e-06,1.31886391e-05,-4.27249461e-06,-1.55127145e-05,7.21405522e-05
50,0.200000,-0.293818057,6.25989866,5.48039675,-3.50846982,0.0379094332,2.90155387,-1.53338533e-07,-4.89173226e-06,1.29966684e-05,-4.2655829e-06,-1.5483658e-05,7.21380493e-05
51,0.204000,-0.294064581,6.25354576,5.49639463,-3.50746775,0.0373234674,2.90283275,-2.70702458e-07,-4.81216557e-06,1.28252759e-05,-4.25934468e-06,-1.54525223e-05,7.21353863e-05
52,0.208000,-0.294360727,6.2493825,5.50698614,-3.50773191,0.0370247513,2.90404344,-4.32590923e-07,-4.73036471e-06,1.2670298e-05,-4.26165934e-06,-1.54185127e-05,7.21320612e-05
53,0.212000,-0.294213504,6.24675989,5.51398182,-3.50862145,0.0361760519,2.90570927,-6.46379476e-07,-4.64542154e-06,1.24753888e-05,-4.25762209e-06,-1.53842248e-05,7.21298275e-05
54,0.216000,-0.294117063,6.24514723,5.51856899,-3.51025558,0.036187958,2.90689802,-8.62613433e-07,-4.55691861e-06,1.23097861e-05,-4.25249118e-06,-1.53505989e-05,7.2126546e-05
55,0.220000,-0.294347197,6.24422503,5.52146864,-3.51234889,0.0365720205,2.90791154,-1.03466527e-06,-4.47489811e-06,1.21450948e-05,-4.25439339e-06,-1.53227229e-05,7.21239194e-05
56,0.224000,-0.294590354,6.24379683,5.52322721,-3.51469231,0.0373256803,2.90892243,-1.27221779e-06,-4.39153064e-06,1.19869701e-05,-4.25264489e-06,-1.52934535e-05,7.21210454e-05
57,0.228000,-0.294833273,6.24370098,5.52423477,-3.51720023,0.0382393003,2.90990949,-1.39283543e-06,-4.31485796e-06,1.18303378e-05,-4.24935297e-06,-1.525894e-05,7.21189208e-05
58,0.232000,-0.295086473,6.24383879,5.52474356,-3.51981282,0.0392300896,2.910887,-1.57434306e-06,-4.23443362e-06,1.16668571e-05,-4.24323389e-06,-1.52249859e-05,7.21157121e-05
59,0.236000,-0.295345575,6.24413824,5.52492571,-3.52249169,0.0402832478,2.91185451,-1.59012529e-06,-4.16182775e-06,1.14925924e-05,-4.23471556e-06,-1.51902077e-05,7.21134929e-05
60,0.240000,-0.29560253,6.24453926,5.52489328,-3.52521348,0.0413986184,2.91280532,-1.58612465e-06,-4.09390441e-06,1.13222968e-05,-4.23143774e-06,-1.51566837e-05,7.21117976e-05
61,0.244000,-0.295448482,6.73253012,5.9271369,-3.81766796,0.0108335782,3.13141584,-1.61897128e-06,-4.02338264e-06,1.1170192e-05,-4.22448466e-06,-1.51240565e-05,7.21088509e-05
62,0.248000,-0.303414166,6.76580143,5.95928192,-3.80881977,0.00892139412,3.13776612,-1.59047613e-06,-3.92580205e-06,1.10265255e-05,-4.22150288e-06,-1.50924061e-05,7.21062897e-05
63,0.252000,-0.303808302,6.765975,5.97067928,-3.80751228,0.00684475899,3.14075685,-1.55744578e-06,-3.87716409e-06,1.08358445e-05,-4.20698325e-06,-1.50574479e-05,7.21027027e-05
64,0.256000,-0.302786112,6.76385689,5.97765875,-3.80837631,0.00592806935,3.14303637,-1.5512021e-06,-3.80868755e-06,1.06717398e-05,-4.20388687e-06,-1.50219967e-05,7.21004617e-05
65,0.260000,-0.301972836,6.76228285,5.98244715,-3.81042743,0.00653417967,3.14442611,-1.51762561e-06,-3.73897296e-06,1.0519243e-05,-4.19654134e-06,-1.49926873e-05,7.20976968e-05
66,0.264000,-0.301772505,6.76130867,5.98561954,-3.8128078,0.00694627687,3.14597607,-1.63840741e-06,-3.67298071e-06,1.03762313e-05,-4.19677644e-06,-1.49611678e-05,7.20951284e-05
67,0.268000,-0.301791191,6.76084805,5.98777103,-3.81546164,0.00746329222,3.14750838,-1.725733e-06,-3.60975741e-06,1.021556e-05,-4.18758646e-06,-1.49296829e-05,7.20924581e-05
68,0.272000,-0.301954746,6.7607646,5.98925591,-3.81851315,0.00856979098,3.14866996,-1.87084765e-06,-3.53683299e-06,1.00829366e-05,-4.18414538e-06,-1.48978061e-05,7.20902754e-05
69,0.276000,-0.302081794,6.7609539,5.99022579,-3.8213625,0.00921049528,3.15027571,-2.02251294e-06,-3.46661204e-06,9.93133108e-06,-4.18382433e-06,-1.48698555e-05,7.20874959e-05
70,0.280000,-0.302238911,6.76134157,5.99092817,-3.82462025,0.0107723167,3.15138698,-2.16982562e-06,-3.37469146e-06,9.78975004e-06,-4.18301988e-06,-1.48333711e-05,7.20850367e-05
71,0.284000,-0.302405417,6.7618742,5.99143267,-3.82793427,0.0123713622,3.15243769,-2.28661884e-06,-3.33932985e-06,9.62535432e-06,-4.17438696e-06,-1.48005765e-05,7.20825847e-05
72,0.288000,-0.302564502,6.76249981,5.9918108,-3.83126521,0.0139719229,3.15342808,-2.26894076e-06,-3.2602411e-06,9.47304943e-06,-4.1693711e-06,-1.47623996e-05,7.20802564e-05
73,0.292000,-0.302717298,6.76318264,5.99210691,-3.83459806,0.0155645739,3.15433741,-2.28443423e-06,-3.19604601e-06,9.32573403e-06,-4.15862314e-06,-1.4729816e-05,7.20788084e-05
74,0.296000,-0.302863777,6.76389122,5.99233627,-3.83789968,0.0171302892,3.15513444,-2.31030799e-06,-3.13584178e-06,9.19274316e-06,-4.15499289e-06,-1.46935836e-05,7.20763855e-05
75,0.300000,-0.303003252,6.76460505,5.99250364,-3.84112668,0.0186382607,3.15576386,-2.33994479e-06,-3.07556502e-06,9.04171338e-06,-4.14820215e-06,-1.46557886e-05,7.20742246e-05
76,0.304000,-0.28493315,6.50509119,5.7444129,-3.61443257,-0.00876607746,3.02203202,-2.3590344e-06,-2.99479279e-06,8.91005129e-06,-4.14554188e-06,-1.46300263e-05,7.20713651e-05
77,0.308000,-0.270431966,6.46386814,5.73087406,-3.62234116,-0.0054839626,3.01697659,-2.39865858e-06,-2.93860421e-06,8.78107858e-06,-4.13366161e-06,-1.45921322e-05,7.20692406e-05
78,0.312000,-0.26648134,6.45141745,5.73126507,-3.62464833,-0.00689597987,3.0158186,-2.48684364e-06,-2.89430136e-06,8.62615707e-06,-4.13350335e-06,-1.45552622e-05,7.20669705e-05
79,0.316000,-0.265318304,6.44636297,5.73335791,-3.62538624,-0.00830505975,3.01529717,-2.50186577e-06,-2.81217808e-06,8.49790013e-06,-4.12906684e-06,-1.45140566e-05,7.20645403e-05
80,0.320000,-0.264852732,6.44354439,5.73480415,-3.62543821,-0.00923784636,3.0147078,-2.60320849e-06,-2.7500007e-06,8.36431627e-06,-4.1180956e-06,-1.44784835e-05,7.20624957e-05
81,0.324000,-0.264541566,6.44149113,5.73515224,-3.6248374,-0.00966189615,3.01393795,-2.55964187e-06,-2.71343606e-06,8.21786853e-06,-4.10692837e-06,-1.44210326e-05,7.20596508e-05
82,0.328000,-0.264182001,6.43970776,5.73447323,-3.62356067,-0.00957790017,3.01296353,-2.72036596e-06,-2.64896153e-06,8.07520155e-06,-4.0937266e-06,-1.43536554e-05,7.20570533e-05
83,0.332000,-0.263736129,6.437994,5.73292732,-3.62167358,-0.00905279815,3.01180744,-2.55218265e-06,-2.61825062e-06,7.93380605e-06,-4.02635669e-06,-1.31271754e-05,7.13811896e-05
84,0.336000,-0.263204485,6.43627787,5.73070812,-3.61929965,-0.00817026384,3.0105021,-2.67449605e-06,-2.65140693e-06,7.78490721e-06,-3.93082473e-06,-1.05045719e-05,6.98116564e-05
85,0.340000,-0.262601674,6.43453074,5.72797823,-3.61656022,-0.00702025183,3.00908494,-2.81376924e-06,-2.67904375e-06,7.60102512e-06,-3.82145936e-06,-7.84916756e-06,6.82252939e-05
86,0.344000,-0.261938125,6.43274832,5.72487593,-3.61354804,-0.00567518547,3.00758195,-2.94943584e-06,-2.70724672e-06,7.45962188e-06,-3.71685815e-06,-5.2062469e-06,6.66434062e-05
87,0.348000,-0.261224091,6.43092108,5.72148848,-3.61032653,-0.00419417955,3.00601625,-3.10301812e-06,-2.75535717e-06,7.29948442e-06,-3.61642788e-06,-2.6111984e-06,6.50907969e-05
88,0.352000,-0.260468185,6.42905569,5.71789074,-3.60694456,-0.00262157805,3.00440931,-3.26178588e-06,-2.78788389e-06,7.13421468e-06,-3.51228596e-06,-3.5058747e-09,6.35326651e-05
